Album,Tên bài hát,Lượt yêu thích,Lượt nghe,Nghệ sĩ,Sáng tác,Thể loại,Nhà cung cấp
Our Acoustic Life (Single),Thousand Years,,,Double Chick,,"Âu Mỹ, Pop, R&B / Soul",RouteNote
One Last Time (Cover) (Single),One Last Time,,,Iris Noëlle,"Giorgio Tuinfort, Rami Yacoub, Carl Falk, Savan Kotecha, David Guetta","Âu Mỹ, Pop",FUGA
Say You Won't Let Go (Single),Say You Won't Let Go,,,Travis Atreo,"James Arthur, Steve Solomon, NEIL RICHARD ORMANDY","Âu Mỹ, Pop",Ingrooves Music Group
Flashlight (Single),Flashlight,,,Travis Atreo,"Mario Mejia, Jason Moore, CHRISTIAN NICOLAS GUZMAN, Sia Kate Furler, Samuel Frederick Smith","Âu Mỹ, Pop",Ingrooves Music Group
Short n' Sweet (Deluxe),Busy Woman,,,Sabrina Carpenter,,"Âu Mỹ, Pop",Universal Music Group
Snowman (Sped Up) (Single),Snowman (Sped Up),,,TikTok Mania,"Greg Kurstin, Sia","Âu Mỹ, Pop",Ingrooves Music Group
We Don't Talk Anymore (Single),We Don't Talk Anymore,,,Travis Atreo,"Charlie Puth, Selena Gomex, Jacob Hindlin","Âu Mỹ, Pop",Ingrooves Music Group
One Call Away (Single),One Call Away,,,Travis Atreo,"Charlie Puth, Shy Carter, Breyon Prescott, Matt Prime, DJ Frane","Âu Mỹ, Pop",Ingrooves Music Group
HOP,Walkin On Water,,,Stray Kids,"Bang Chan (3RACHA), CHANGBIN (3RACHA), HAN (3RACHA), Restart, Chae Ganghae","Âu Mỹ, Pop",Ingrooves Music Group
I Think They Call This Love (Single),I Think They Call This Love,,,Elliot James Reay,,"Âu Mỹ, Pop",Universal Music Group
,Maybe My Soulmate Died,,,iamnotshane,"Shane Niemi, Alexander Dana Tirheimer","Âu Mỹ, Pop",FUGA
My Stupid Heart (8D Audio) (Single),My Stupid Heart (8D Audio),,,8D Labs,"Jake Torrey, Michael Matosic, Peter John Rees Rycroft","Âu Mỹ, Pop",Ingrooves Music Group
Someone You Loved (Single),Someone You Loved,,,Isaac Wright,,"Âu Mỹ, Pop",RouteNote
Do It Like That (Single),Do It Like That,,,"TOMORROW X TOGETHER, Jonas Brothers","Grant Boutin, Ryan Tedder, Coleton Rubin","Âu Mỹ, Pop",Ingrooves Music Group
Love Myself (Single),Love Myself,,,Travis Atreo,"Hailee Steinfeld, Mattias Larsson, Justin Tranter, Oscar Holter, Robin Fredriksson","Âu Mỹ, Pop",Ingrooves Music Group
Pretty In The Dark (Single),Pretty In The Dark,,,"Ashley Sienna, Ellise",,"Âu Mỹ, Pop",Ingrooves Music Group
Daylight (Single),Daylight,,,David Kushner,"Hayden Robert Hubers, David Kushner","Âu Mỹ, Pop",Ingrooves Music Group
HOP,Railway (Bang Chan),,,Stray Kids,"Bang Chan (3RACHA), Versachoi","Âu Mỹ, Pop",Ingrooves Music Group
,Please Please Please,,,Sabrina Carpenter,,"Âu Mỹ, Pop",Universal Music Group
Love Is A Stillness (Single),Love Is A Stillness,,,Sam Smith,,"Âu Mỹ, Pop",Universal Music Group
Bite Marks (Single),Bite Marks,,,"League Of Legends, Teya","Alex Seaver, Sebastien Najand","Âu Mỹ, Pop",FUGA
Hermionong (Single),Hermionong,,,TheChanisara,Achariya Dulyapaiboon,"Âu Mỹ, Pop",Believe
These Tears (Single),These Tears,,,Andy Grammer,,"Âu Mỹ, Pop",Universal Music Group
Tự Nhiên,Trường An Cô Nương,430,40K,Lee Phú Quý,Lee Phú Quý,"Âu Mỹ, Pop, Nhạc Phim",RouteNote
Flowers (Single),Flowers,,,Miley Cyrus,"Miley Cyrus, Michael Pollack, Gregory Aldae Hein","Âu Mỹ, Pop",Sony Music Entertainment
1989 (Taylor's Version),Shake It Off (Taylor's Version),,,Taylor Swift,,"Âu Mỹ, Pop",Universal Music Group
Lost Umbrella (Single),Lost Umbrella,,,Blazed,"Inaba Kumori, Kaayi Yuki","Âu Mỹ, Pop, Electronic / Dance",RouteNote
Like I Do (Single),Like I Do,,,Andy ARYSH,Andy ARYSH,"Âu Mỹ, Pop, Rap / Hip Hop",FUGA
The Secret of Us (Deluxe),That’s So True,,,Gracie Abrams,,"Âu Mỹ, Pop",Universal Music Group
PS5 (Single),PS5,,,"salem ilese, TOMORROW X TOGETHER, Alan Walker","Alan Walker, Carl Hovind, Chloe Copoloff, Fredrik Borch Olsen, Gunnar Greve","Âu Mỹ, Pop",Universal Music Group
Midnights,Anti-Hero,,,Taylor Swift,,"Âu Mỹ, Pop",Universal Music Group
,Inside Out,,,keshi,,"Âu Mỹ, Pop",Universal Music Group
DRIP,DRIP,,,BABYMONSTER,"Airplay, Illjun, Sandra Wikström, G-Dragon",Hàn Quốc,YG PLUS
DRIP,BILLIONAIRE,,,BABYMONSTER,"CHOICE37, LP, Lauren Aquilina, Sandra Wikström, Al Pacino",Hàn Quốc,YG PLUS
Whiplash - The 5th Mini Album (EP),Whiplash,,,aespa,"Marcus “MarcLo” Lomax, Neil Ormandy, Rosina ""Soaky Siren"" Russell, Lewis Jankel","Hàn Quốc, Pop/Pop Ballad",FUGA
BABYMONS7ER,LIKE THAT,,,BABYMONSTER,"Charlie Puth, Jacob Kasher Hindlin",Hàn Quốc,YG PLUS
ME (Single),FLOWER,,,JISOO,"24, VVN, Kush","Hàn Quốc, Dance Pop",YG PLUS
BABYMONS7ER,SHEESH,,,BABYMONSTER,"CHOICE37, LP, YG, Al Pacino, Lil G",Hàn Quốc,YG PLUS
Pink Venom (Single),Pink Venom,,,BLACKPINK,"Teddy, 24, R Tee, iDo","Hàn Quốc, Rap / Hip Hop",YG PLUS
DRIP,CLIK CLAK,,,BABYMONSTER,"Ricky Luna, Rolando Luna, Keith Bykoff, Malaynah",Hàn Quốc,YG PLUS
"Lovely Runner, Pt. 1 (Original Soundtrack)",Sudden Shower,,,Eclipse,"한성호, 박수석, Moon Kim","Hàn Quốc, Nhạc Phim",Ingrooves Music Group
SUPER REAL ME (EP),Magnetic,,,ILLIT,"Slow Rabbit, “hitman” bang, Martin, salem ilese, Danke",Hàn Quốc,Ingrooves Music Group
Armageddon - The 1st Album,Supernova,,,aespa,"Kenzie, Paris Alexa, Dwayne “Dem Jointz” Abernathy Jr.","Hàn Quốc, Pop/Pop Ballad",Ingrooves Music Group
FOREVER (Single),FOREVER,,,BABYMONSTER,"CHOICE37, LP, BLVSH, Al Pacino, Lil G",Hàn Quốc,YG PLUS
"Lovely Runner, Pt. 8 (Original Soundtrack) (EP)",Spring Snow,,,10cm,Muii,"Hàn Quốc, Nhạc Phim",Ingrooves Music Group
DRIP,Really Like You,,,BABYMONSTER,"Airplay, Ryan Bickley, Jonny Hockings, Freedo, Ends",Hàn Quốc,YG PLUS
BORN PINK,Shut Down,,,BLACKPINK,"Teddy, 24","Hàn Quốc, Rap / Hip Hop",YG PLUS
Drama - The 4th Mini Album (EP),Drama,,,aespa,,"Hàn Quốc, Pop/Pop Ballad",FUGA
NewJeans 'Super Shy' (EP),New Jeans,,,NewJeans,"Erika de Casier, Fine Glindvad Jensen, Jinsu Park, Frankie Scoca",Hàn Quốc,Ingrooves Music Group
Lose Yourself,Igloo,,,KISS OF LIFE,"Hiss noise, Arineh Karimi","Hàn Quốc, Rap / Hip Hop",Kakao Entertaiment
BORN PINK,Typa Girl,,,BLACKPINK,"Bekuh Boom, Dominsuk","Hàn Quốc, Pop/Pop Ballad",YG PLUS
JENNIE Special Single [You & Me] (Single),You & Me,,,JENNIE,"Teddy, 24, Vince",Hàn Quốc,YG PLUS
DRIP,Woke Up In Tokyo (RUKA &…,,,BABYMONSTER,"Ricky Luna, Rolando Luna, Kyler Niko, Wonderframe, Jonathan Keyes",Hàn Quốc,YG PLUS
DRIP,Love In My Heart,,,BABYMONSTER,"강욱진, Diggy, Jared Lee",Hàn Quốc,YG PLUS
SYNK : PARALLEL LINE - Special Digital Single (EP),UP (KARINA Solo),,,aespa,"Slow Rabbit, Morgan Connie Smith, Taneisha Jackson, Sofia Quinn, PXPILLON","Hàn Quốc, Pop/Pop Ballad",FUGA
"When The Phone Rings, Pt. 1 (Original Soundtrack) (EP)",See The Light,,,Lim Hyunsik,"AllThou, Suhyun Kim","Hàn Quốc, Nhạc Phim",Ingrooves Music Group
NewJeans 'OMG' (EP),Ditto,,,NewJeans,"Ylva Dimberg, 250",Hàn Quốc,Ingrooves Music Group
Seven (feat. Latto) (EP),Seven (feat. Latto) (Explicit…,,,"Jung Kook, Latto","Andrew Watt, Jon Bellion, Henry Walter, Theron Makiel Thomas, Latto",Hàn Quốc,Ingrooves Music Group
BATTER UP (Single),BATTER UP,,,BABYMONSTER,"Chaz Mishan, YG, DEE.P, Jared Lee, 아사(ASA)",Hàn Quốc,YG PLUS
BORN PINK,Tally,,,BLACKPINK,"Nat Dunn, David Phelan, Alex Oriet, Brian Lee, Soraya Lapread","Hàn Quốc, Pop/Pop Ballad",YG PLUS
NewJeans 'Super Shy' (EP),Super Shy,,,NewJeans,"Erika de Casier, Kristine Bogan, Frankie Scoca",Hàn Quốc,Ingrooves Music Group
ME (Single),All Eyes On Me,,,JISOO,"Teddy, R Tee, 24, VVN","Hàn Quốc, Dance Pop",YG PLUS
SPOT! (Single),SPOT!,,,"ZICO, JENNIE","ZICO, Eun Heeyoung, No Identity",Hàn Quốc,Ingrooves Music Group
BORN PINK,Hard to Love,,,BLACKPINK,"Freddy Wexler, Teddy, Bianca “Blush” Atterberry, Max Wolfgang, 24","Hàn Quốc, Pop/Pop Ballad",YG PLUS
LOVE DIVE (Single),LOVE DIVE,,,IVE,"Sophia Brennan, Elle Campbell, Nick Hahn","Hàn Quốc, Dance Pop",Kakao Entertainment
Alivio,STRESS,,,CHUNG HA,"Christian Fast, Jonna Hall, Sebastian Thott","Hàn Quốc, Dance Pop",Kakao Entertaiment
Armageddon - The 1st Album,Armageddon,,,aespa,"EJAE, Sumin, Waker, No Identity","Hàn Quốc, Pop/Pop Ballad",FUGA
Still Life (Single),Still Life,,,BIGBANG,"Kush, VVN, Vince, G-Dragon, T.O.P",Hàn Quốc,YG PLUS
DRIP,"Love, Maybe",,,BABYMONSTER,"Airplay, Sandra Wikström, Ends",Hàn Quốc,YG PLUS
MEOW (Single),MEOW,,,MEOVV,,"Hàn Quốc, Dance Pop",Ingrooves Music Group
ZOOM (Single),ZOOM,,,Jessi,"싸이 (PSY), 유건형, bayb","Hàn Quốc, Rap / Hip Hop",Kakao Entertainment
I'LL LIKE YOU (EP),Tick-Tack,,,ILLIT,"Sam Martin, Johnny Goldstein, “hitman” bang, divahh, 신쿵",Hàn Quốc,Ingrooves Music Group
WINTER HEPTAGON,PYTHON,,,GOT7,"BamBam, Kyle Reynolds, Nick Lee, Jason Fox, Samik ‘Symphony’ Ganguly","Hàn Quốc, Dance Pop",Kakao Entertaiment
I NEVER DIE,TOMBOY,,,(G)I-DLE,"Soyeon, Pop Time, JENCI",Hàn Quốc,Ingrooves Music Group
EASY (EP),Smart,,,LE SSERAFIM,"SCORE(13), Lee Eunhwa(153/Joombas), Teodor Herrgårdh, Hadar Adora, Charli",Hàn Quốc,Ingrooves Music Group
CRAZY (EP),CRAZY,,,LE SSERAFIM,"SCORE(13), Megatone(13), iluvjulia, Jake Torrey, “hitman”bang",Hàn Quốc,Ingrooves Music Group
I feel (EP),Queencard,,,(G)I-DLE,"Soyeon, Pop Time, Daily, Likey",Hàn Quốc,Ingrooves Music Group
BORN PINK,Ready For Love,,,BLACKPINK,"Teddy, VVN, 24, Kush, Bekuh Boom","Hàn Quốc, Pop/Pop Ballad",YG PLUS
NewJeans 'OMG' (EP),OMG,,,NewJeans,"Ylva Dimberg, Jinsu Park, David Dawood",Hàn Quốc,Ingrooves Music Group
HER,HER,,,MINNIE,"MINNIE, Tim Tan, CA$HCOW, BreadBeat, Shinkung",Hàn Quốc,Ingrooves Music Group
BABYMONS7ER,DREAM,,,BABYMONSTER,"Jared Lee, CHOICE37, Dan Whittemore, Al Pacino, Hae",Hàn Quốc,YG PLUS
ATE,Chk Chk Boom,,,Stray Kids,"Bang Chan (3RACHA), CHANGBIN (3RACHA), HAN (3RACHA), Dallas Koehlke, Ronnie Icon","Hàn Quốc, Rap / Hip Hop",Ingrooves Music Group
DRIP,FOREVER,,,BABYMONSTER,"CHOICE37, LP, BLVSH, Al Pacino, Lil G",Hàn Quốc,YG PLUS
BABYMONS7ER,MONSTERS (Intro),,,BABYMONSTER,"Atichanan Seesaywok, DEE.P, Jared Lee",Hàn Quốc,YG PLUS
I'LL LIKE YOU (EP),Cherish (My Love),,,ILLIT,"Deputy, AKAP, Andrew Jackson, Sarah ""Solly"" Solovay, Charli",Hàn Quốc,Ingrooves Music Group
DRIP,BATTER UP (Remix) -…,,,BABYMONSTER,"Chaz Mishan, YG, DEE.P, Jared Lee, 아사(ASA)",Hàn Quốc,YG PLUS
3D (feat. Jack Harlow) (EP),3D (feat. Jack Harlow),,,"Jung Kook, Jack Harlow","Bloodpop, David Stewart, Jack Harlow",Hàn Quốc,Ingrooves Music Group
BABYMONS7ER,BATTER UP (7 ver.),,,BABYMONSTER,"Chaz Mishan, YG, DEE.P, Jared Lee, 아사(ASA)",Hàn Quốc,YG PLUS
Season of Memories (Single),Season of Memories,,,GFRIEND,"Noh Ju Hwan, Shintaro Yasuda, Wonjounglee, Takayuki “Kojiro” Sasaki",Hàn Quốc,Ingrooves Music Group
Caligo Pt.1 (EP),Dash,,,PLAVE,"PLAVE, EL CAPITXN, Vendors(Zenur)",Hàn Quốc,YG PLUS
I love (EP),Nxde,,,(G)I-DLE,"Soyeon, Pop Time, KAKO",Hàn Quốc,Ingrooves Music Group
BORN PINK,The Happiest Girl,,,BLACKPINK,"Teddy Sinclair, Willy Sinclair, Paro, 24","Hàn Quốc, Pop/Pop Ballad",YG PLUS
Perfect Night (Single),Perfect Night,,,LE SSERAFIM,"SCORE(13), Megatone(13), Sofia Quinn, ""Hitman"" Bang, Amanda ""Kiddo A.I. Ibanez",Hàn Quốc,Ingrooves Music Group
Cupid Twin Ver. (Sped Up) (Single),Cupid Twin Ver. (Sped Up),,,Way 2 Fast,SIA HN,Hàn Quốc,RouteNote
JENNIE Special Single [You & Me] (Single),You & Me (Coachella ver.),,,JENNIE,"Teddy, 24, Vince",Hàn Quốc,YG PLUS
NewJeans 1st EP 'New Jeans' (EP),Hype Boy,,,NewJeans,"Ylva Dimberg, 250",Hàn Quốc,Ingrooves Music Group
"Lovely Runner, Pt. 3 (Original Soundtrack) (EP)",Like A Dream,,,MINNIE,정구현,"Hàn Quốc, Nhạc Phim",Ingrooves Music Group
GAME PLAN (EP),Fast Forward,,,JEON SOMI,"Teddy, Vince, R Tee, Bekuh Boom",Hàn Quốc,YG PLUS
BORN PINK,Yeah Yeah Yeah,,,BLACKPINK,"Kush, R Tee, VVN, iDo","Hàn Quốc, Pop/Pop Ballad",YG PLUS
Stuck In The Middle (Single),Stuck In The Middle,,,BABYMONSTER,"DEE.P, Jared Lee, Dan Whittemore",Hàn Quốc,YG PLUS
GOLDEN,Standing Next to You,,,Jung Kook,"Andrew Watt, Henry Walter, Ali Tamposi, Jon Bellion",Hàn Quốc,Ingrooves Music Group
THE GIRLS (BLACKPINK THE GAME OST) (Single),THE GIRLS (BLACKPINK…,,,BLACKPINK,"Ryan Tedder, Michel 'Lindgren' Schulz, ROSÉ, 제니 (JENNIE), Melanie Fontana",Hàn Quốc,YG PLUS
YOARI X MY DEMON (Single),TRUE,,,Yoari,"Park, Seulgi(20Hz), 박슬기(20Hz)",Hàn Quốc,Kakao Entertainment
NewJeans 1st EP 'New Jeans' (EP),Attention,,,NewJeans,"Duckbay (Cosmos Studios Stockholm), 250",Hàn Quốc,Ingrooves Music Group
"When The Phone Rings, Pt. 2 (Original Soundtrack) (EP)",Numb,,,LIM YEON,"Maxx Song (BADX), Sam Carter (MonoTree), jisanpark (BADX), True Choi (BADX), TonKim","Hàn Quốc, Nhạc Phim",Ingrooves Music Group
BABYMONS7ER,Stuck In The Middle (7 ver.),,,BABYMONSTER,"DEE.P, Jared Lee, Dan Whittemore",Hàn Quốc,YG PLUS
2,Fate,,,(G)I-DLE,"Soyeon, Pop Time, Daily, Likey",Hàn Quốc,Ingrooves Music Group
When The Phone Rings (Original Soundtrack),When the Phone Rings,,,OH HEEJOON,OH HEEJOON,"Hàn Quốc, Nhạc Phim",Ingrooves Music Group
MY WORLD - The 3rd Mini Album (EP),Spicy,,,aespa,,"Hàn Quốc, Pop/Pop Ballad",FUGA
ROMANCE : UNTOLD -daydream-,No Doubt,,,ENHYPEN,"Johnny Goldstein, Armadillo, Ranga, Theron Thomas, Kasey Phillips",Hàn Quốc,Ingrooves Music Group
NewJeans 1st EP 'New Jeans' (EP),Hurt,,,NewJeans,"Amanda Lundstedt, 250",Hàn Quốc,Ingrooves Music Group
How Sweet (EP),How Sweet,,,NewJeans,"Sarah Aarons, Stella Bennett, Tove Burman, 250, Elvira Anderfjärd",Hàn Quốc,Ingrooves Music Group
NewJeans 2nd EP 'Get Up' (EP),ETA,,,NewJeans,"Ylva Dimberg, 250",Hàn Quốc,Ingrooves Music Group
SYNK : PARALLEL LINE - Special Digital Single (EP),Spark (WINTER Solo),,,aespa,"Winter, R Tee, VACK, NOYEAH","Hàn Quốc, Pop/Pop Ballad",FUGA
SEVENTEEN 10th Mini Album 'FML' (EP),Super,,,SEVENTEEN,"WOOZI, Bumzu, August Rigo",Hàn Quốc,Ingrooves Music Group
GOLD,Imaginary Friend,,,ITZY,"Ryan Jhun, James Daniel Lewis, Sorana Pacurar","Hàn Quốc, Dance Pop",Ingrooves Music Group
BABYMONS7ER,Stuck In The Middle (Remix),,,BABYMONSTER,"DEE.P, Jared Lee, Dan Whittemore",Hàn Quốc,YG PLUS
"When The Phone Rings, Pt. 4 (Original Soundtrack) (EP)",May I Love You?,,,Jae Yeon,"Dinner Coat, 유정현","Hàn Quốc, Nhạc Phim",Ingrooves Music Group
SUPER REAL ME (EP),Lucky Girl Syndrome,,,ILLIT,"Stint, Alna Hofmeyr, Annika Bennett, Shinkung, Kim Bo Eun(Jamfactory)",Hàn Quốc,Ingrooves Music Group
16 Fantasy (EP),Small girl (feat. D.O.),,,"Lee Young Ji, D.O.","Peejay, Lee Young Ji, 이영지","Hàn Quốc, Rap / Hip Hop",Kakao Entertainment
EASY (EP),EASY,,,LE SSERAFIM,"Amanda “Kiddo A.I.” Ibanez, Sean Turk, SCORE(13), Megatone(13), ""HITMAN""BANG",Hàn Quốc,Ingrooves Music Group
Midas Touch (Single),Midas Touch,,,KISS OF LIFE,"strawberrybananaclub, ONDINE, Samson","Hàn Quốc, Dance Pop",Kakao Entertainment
Proof,Run BTS,,,BTS,"Dwayne Abernathy Jr., RM, Ebenezer, j-hope, GHSTLOOP",Hàn Quốc,Ingrooves Music Group
ROMANCE : UNTOLD,XO (Only If You Say Yes),,,ENHYPEN,"Armadillo, JVKE, ZVC, ""Hitman"" Bang, Danke",Hàn Quốc,Ingrooves Music Group
ROCK-STAR,LALALALA,,,Stray Kids,"Bang Chan (3RACHA), CHANGBIN (3RACHA), HAN (3RACHA), Versachoi, Kevin Gomringer","Hàn Quốc, Dance Pop",Ingrooves Music Group
ANTIFRAGILE (EP),ANTIFRAGILE,,,LE SSERAFIM,"SCORE(13), Megatone(13), Paulina “PAU” Cerrilla, “hitman” bang, Shintaro Yasuda",Hàn Quốc,Ingrooves Music Group
MUSE,Who,,,Jimin,"Jon Bellion, Pete Nappi, PDOGG, GHSTLOOP, Jason Cornet",Hàn Quốc,Ingrooves Music Group
도깨비불 Illusion (Single),도깨비불 Illusion,,,aespa,"G’harah “PK” Degeddingseze, Steve Octave, Patricia “Tricia” Battani","Hàn Quốc, Pop/Pop Ballad",FUGA
Caligo Pt.1 (EP),Chroma Drift,,,PLAVE,"PLAVE, SakaZan, Vendors(Abim), Vendors(Coll!n)",Hàn Quốc,YG PLUS
Sweet Dream (VIVINOS - ALNST Original Soundtrack Part.2) (Single),Sweet Dream (VIVINOS -…,,,C!naH,,"Hàn Quốc, Nhạc Phim",Genie Music
Wiege (VIVINOS - ALNST Original Soundtrack Part.9) (Single),Wiege (VIVINOS - ALNST…,,,"BL8M, 6FU;",Whisty,Hàn Quốc,FLUXUS INC.
GAME PLAN (EP),The Way,,,JEON SOMI,"Chloe George, Steph Jones, Sir Nolan, iDo",Hàn Quốc,YG PLUS
Ai Cũng Phải Bắt Đầu Từ Đâu Đó,Exit Sign,,,HIEUTHUHAI,HIEUTHUHAI,"Việt Nam, Rap Việt",MMusic
Wrong Times (Single),Wrong Times,91K,5.4M,"Puppy, Dangrangto","Puppy, Dangrangto","Việt Nam, Rap Việt",DAO Music Entertainment
ĐỔI TƯ THẾ (Single),ĐỔI TƯ THẾ,44K,2.4M,"Bình Gold, Andree Right Hand","Bình Gold, Andree Right Hand","Việt Nam, Rap Việt",MIXUS
Ghệ Mới (Single),Ghệ Mới,8K,215K,"B Ray, Young H","B Ray, Young H","Việt Nam, Rap Việt",MIXUS
Ai Cũng Phải Bắt Đầu Từ Đâu Đó,NOLOVENOLIFE,,,HIEUTHUHAI,HIEUTHUHAI,"Việt Nam, Rap Việt",MMusic
Vị Nhà (Single),Vị Nhà,22K,1M,Đen,Đen,"Việt Nam, Rap Việt",ZEE Media
NGỰA Ô (Single),NGỰA Ô,31K,2.5M,"Dangrangto, TeuYungBoy, DONAL","Tran Hai Dang, Nguyen Viet Anh","Việt Nam, Rap Việt",Believe
Chịu Cách Mình Nói Thua (Single),Chịu Cách Mình Nói Thua,158K,14.5M,"RHYDER, CoolKid, BAN","Nguyễn Quang Anh, Nguyễn Nhật Phát, Hoàng Lê Bảo Minh","Việt Nam, Rap Việt",Believe
Love Is (Single),Love Is,27K,1M,Dangrangto,Dangrangto,"Việt Nam, Rap Việt",DAO Music Entertainment
À Lôi (Single),À Lôi,810K,39.4M,"Double2T, Masew",Double2T,"Việt Nam, Rap Việt",VIEENT Music
Miên Man (Single),Miên Man,173K,11.8M,Minh Huy,Minh Huy,"Việt Nam, Rap Việt",LOOPS Music
,Nói Dối,66K,4.1M,Ronboogz,Ronboogz,"Việt Nam, Rap Việt",DAO Music Entertainment
Ai Cũng Phải Bắt Đầu Từ Đâu Đó,Không Phải Gu,,,HIEUTHUHAI,HIEUTHUHAI,"Việt Nam, Rap Việt",MMusic
Vệ Tinh (Single),Vệ Tinh,315K,16M,"HIEUTHUHAI, Hoàng Tôn, Kewtiie","HIEUTHUHAI, Hoàng Tôn","Việt Nam, Rap Việt",MMusic
Em Không Khóc (Single),Em Không Khóc,157K,9.5M,"buitruonglinh, Vũ Phụng Tiên",,"Việt Nam, Rap Việt",Yin Yang Media
Cho Ba (Single),Cho Ba,11K,531K,B Ray,B Ray,"Việt Nam, Rap Việt",MIXUS
,Hai đứa nhóc,54K,3M,Ronboogz,Ronboogz,"Việt Nam, Rap Việt",DAO Music Entertainment
,Khi Mà,110K,6.3M,Ronboogz,Ronboogz,"Việt Nam, Rap Việt",DAO Music Entertainment
Mamma Mia (Single),Mamma Mia,171K,8.9M,"HIEUTHUHAI, HURRYKNG, MANBO, Negav, REX","HIEUTHUHAI, HURRYKNG, MANBO, Negav, REX","Việt Nam, Rap Việt",Gerdnang
Anh Chỉ Muốn (Single),Anh Chỉ Muốn,47K,2.6M,Ronboogz,Ronboogz,"Việt Nam, Rap Việt",DAO Music Entertainment
FuDo Milan (Single),FuDo Milan,26K,1.3M,LiL Van,LiL Van,"Việt Nam, Rap Việt",MIXUS
Chơi Như Tụi Mỹ (Single),Chơi Như Tụi Mỹ,90K,10.2M,Andree Right Hand,WOKEUP,"Việt Nam, Rap Việt",Believe
TO LOVE AND BE LOVED,Hồng không gai,9K,323K,"Winno, SpideyBoy","Winno, SpideyBoy","Việt Nam, Rap Việt",Yin Yang Media
TRÌNH (Single),TRÌNH,27K,1.4M,HIEUTHUHAI,Trần Minh Hiếu,"Việt Nam, Rap Việt",Ingrooves Music Group
Thiêu Thân (Single),Thiêu Thân,274K,18.2M,"B Ray, Sofia","Châu Đăng Khoa, B Ray","Rap Việt, Việt Nam",Great Entertainment
yêu anh đi mẹ anh bán bánh mì (EP),yêu anh đi mẹ anh bán…,304K,17.6M,Phúc Du,Phúc Du,"Việt Nam, Rap Việt",LOOPS Music
Muốn Quên Được Em (Single),Muốn Quên Được Em,172K,12.2M,Freaky,Freaky,"Việt Nam, Rap Việt",LOOPS Music
Say Đắm Trong Lần Đầu (Remix) (Single),Say Đắm Trong Lần Đầu…,98K,6.6M,"JBee, Winno, NamB","JBee, Winno","Việt Nam, Rap Việt",MIXUS
Ai Cũng Phải Bắt Đầu Từ Đâu Đó,Cho Em An Toàn,,,HIEUTHUHAI,HIEUTHUHAI,"Việt Nam, Rap Việt",MMusic
Bản Lo-Fi Audio Số 1 (Single),Bản Lo-Fi Audio Số 1,15K,1M,Kidz,Kidz,"Rap Việt, Việt Nam",MIXUS
Anh Luôn Như Vậy (Single),Anh Luôn Như Vậy,116K,7.4M,B Ray,B Ray,"Việt Nam, Rap Việt",MIXUS
Dân Chơi Sao Phải Khóc (Single),Dân Chơi Sao Phải Khóc,43K,5.7M,"Andree Right Hand, RHYDER, WOKEUP","Bùi Thế Anh, Nguyễn Quang Anh, Nguyễn Hoàng Phúc","Việt Nam, Rap Việt",Believe
Lý Do Nào Để Quay Lại Với Nhau (Single),Lý Do Nào Để Quay Lại Với…,41K,3.2M,"Par SG, New$oulZ","Par SG, New$oulZ","Việt Nam, Rap Việt",DAO Music Entertainment
2GOILAYS (Single),2GOILAYS,1K,87K,"DMT, Dangrangto, TeuYungBoy, DONAL","Ngô Minh Quốc Khánh, Trần Hải Đăng, Nguyen Viet Anh","Việt Nam, Rap Việt",Believe
Ngõ Chạm (Single),Ngõ Chạm,159K,9.2M,"BigDaddy, Emily","BigDaddy, VSTRA","Việt Nam, Rap Việt",LOOPS Music
Vì Chúng Ta Là Con Người (Single),Vì Chúng Ta Là Con Người,30K,1.6M,"Ronboogz, Winno, Hustlang HBo","Ronboogz, Winno, Hustlang HBo","Việt Nam, Rap Việt",DAO Music Entertainment
Kìa Bóng Dáng Ai (Single),Kìa Bóng Dáng Ai,350K,19.4M,"Pháo, Sterry",Pháo,"Việt Nam, Rap Việt",MIXUS
Đủ Trải Sẽ Thấm (Single),Đủ Trải Sẽ Thấm,191K,10.3M,"Mikelodic, Chiennhatlang","Mikelodic, Chiennhatlang","Việt Nam, Rap Việt",LOOPS Music
Một Ngày Chẳng Nắng (Single),Một Ngày Chẳng Nắng,291K,15M,Pháo,Pháo,"Việt Nam, Rap Việt",MIXUS
SHOW ME THE HAZEL,Last Night 2,2K,207K,Hazel,Hazel,"Việt Nam, Rap Việt",DAO Music Entertainment
THE WXRDIES,Tim Anh Ghen,,,"Wxrdie, Dangrangto, TeuYungBoy, LVK","Pham Nam Hai, Trần Hải Đăng, Nguyen Viet Anh, La Vỹ Kiệt, Dương Nguyễn","Việt Nam, Rap Việt",Universal Music Group
Ai Cũng Phải Bắt Đầu Từ Đâu Đó,Everything Will Be Okay,,,HIEUTHUHAI,HIEUTHUHAI,"Việt Nam, Rap Việt",MMusic
MOIEM (Single),MOIEM,3K,322K,"Dangrangto, DONAL",Trần Hải Đăng,"Việt Nam, Rap Việt",Believe
420ent.,Vinflow,35K,2.1M,"Wxrdie, WOKEUP, 2Pillz",Wxrdie,"Việt Nam, Rap Việt",LOOPS Music
WESTSIDE SQUAD (Single),WESTSIDE SQUAD,46K,2.4M,"Jombie, Dế Choắt, EndLess",Nguyễn Cường Thịnh,"Việt Nam, Rap Việt",VIEENT Music
